Fecha,Posición,Canción,Artista
2010-01-01,4,TiK ToK,Ke$ha
2010-01-01,18,Empire State Of Mind,Jay-Z + Alicia Keys
2010-01-01,32,Bad Romance,Lady Gaga
2010-01-01,46,Replay,Iyaz
2010-01-01,60,Fireflies,Owl City
2010-01-01,74,Sexy Chick,David Guetta Featuring Akon
2010-01-01,88,Whatcha Say,Jason Derulo
2010-01-01,102,Down,Jay Sean Featuring Lil Wayne
2010-01-01,116,Meet Me Halfway,The Black Eyed Peas
2010-01-01,130,3,Britney Spears
2010-01-01,144,Hard,Rihanna Featuring Jeezy
2010-01-01,158,BedRock,Young Money Featuring Lloyd
2010-01-01,172,How Low,Ludacris
2010-01-01,186,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
2010-01-01,200,Paparazzi,Lady Gaga
2010-01-01,214,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
2010-01-01,228,Sweet Dreams,Beyonce
2010-01-01,242,Already Gone,Kelly Clarkson
2010-01-01,256,Party In The U.S.A.,Miley Cyrus
2010-01-01,270,I Gotta Feeling,The Black Eyed Peas
2010-01-01,284,Need You Now,Lady Antebellum
2010-01-01,298,You Belong With Me,Taylor Swift
2010-01-01,312,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
2010-01-01,326,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz
2010-01-01,340,Use Somebody,Kings Of Leon
2010-01-01,354,Money To Blow,Birdman Featuring Lil Wayne & Drake
2010-01-01,368,Try Sleeping With A Broken Heart,Alicia Keys
2010-01-01,382,Evacuate The Dancefloor,Cascada
2010-01-01,396,Hell Breaks Loose,Eminem Featuring Dr. Dre
2010-01-01,410,Fifteen,Taylor Swift
2010-01-01,424,Tie Me Down,New Boyz Featuring Ray J
2010-01-01,438,"Hey, Soul Sister",Train
2010-01-01,452,Live Like We're Dying,Kris Allen
2010-01-01,466,Say Aah,Trey Songz Featuring Fabolous
2010-01-01,480,Gangsta Luv,Snoop Dogg Featuring The-Dream
2010-01-01,494,Baby By Me,50 Cent Featuring Ne-Yo
2010-01-01,508,Run This Town,"Jay-Z, Rihanna & Kanye West"
2010-01-01,522,Telephone,Lady Gaga Featuring Beyonce
2010-01-01,536,Cowboy Casanova,Carrie Underwood
2010-01-01,550,Give It Up To Me,Shakira Featuring Lil Wayne
2010-01-01,564,According To You,Orianthi
2010-01-01,578,I Invented Sex,Trey Songz Featuring Drake
2010-01-01,592,Do I,Luke Bryan
2010-01-01,606,Fallin' For You,Colbie Caillat
2010-01-01,620,Consider Me Gone,Reba
2010-01-01,634,If You Only Knew,Shinedown
2010-01-01,648,One Time,Justin Bieber
2010-01-01,662,The Truth,Jason Aldean
2010-01-01,676,It Kills Me,Melanie Fiona
2010-01-01,690,Southern Voice,Tim McGraw
2010-01-01,704,Spotlight,Gucci Mane Featuring Usher
2010-01-01,718,White Liar,Miranda Lambert
2010-01-01,732,Russian Roulette,Rihanna
2010-01-01,746,Smile,Uncle Kracker
2010-01-01,760,Empire State Of Mind (Part II) Broken Down,Alicia Keys
