nombre,artista,id_artista,año,genero,genero_general
Just the Way You Are,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,Desconocido,Otros
Angels Cry,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,2010,christmas,pop
Only Girl (In The World),Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,Desconocido,Otros
The Real Slim Shady - Edited,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2010,rap,hip-hop
The Spins,Mac Miller,4LLpKhyESsyAXpc4laK94U,2010,Desconocido,Otros
Smooth Criminal,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,2010,Desconocido,Otros
S&M,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,Desconocido,Otros
Estuve a punto de - Entrevista,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,2010,latin pop,latino
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,23zg3TcAtWQy7J6upgbUnj,2010,r&b,r&b
Alice,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,2010,Desconocido,Otros
Marry You,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,Desconocido,Otros
Let You Go,Chase & Status,3jNkaOXasoc7RsxdchvEVq,2010,drum and bass,electrónica
Runaway,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2010,rap,hip-hop
Eu Sou O Samba - Live From Brazil/2010,Alexandre Pires,0Rrl4hJQjRAbGtiEwAqS5N,2010,pagode,samba
Love The Way You Lie,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2010,rap,hip-hop
Find Your Love - Extended Version,Drake,3TVXtAsR1Inumwj472S9r4,2010,rap,hip-hop
"Hey, Soul Sister",Train,3FUY2gzHeIiaesXtOAdB7A,2010,soft pop,pop
The Fear,Lily Allen,13saZpZnCDWOI9D4IJhp1f,2010,Desconocido,Otros
Grenade,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,Desconocido,Otros
Guess I'm Doing Fine,Bob Dylan,74ASZWbe4lXaubB36ztrGX,2010,folk rock,rock
Memories (feat. Kid Cudi),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2010,edm,electrónica
Politik Kills,Manu Chao,6wH6iStAh4KIaWfuhf0NYM,2010,latin alternative,latino
What You Know,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,2010,indie,indie
The Beautiful People - From Burlesque,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,2010,Desconocido,Otros
Last Friday Night (T.G.I.F.),Katy Perry,6jJ0s89eD6GaHleKKya26X,2010,pop,pop
Teenage Dream,Katy Perry,6jJ0s89eD6GaHleKKya26X,2010,pop,pop
All Of The Lights,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2010,rap,hip-hop
Journey To Regionals Performance,Glee Cast,0SCbttzoZTnLFebDYmAWCm,2010,christmas,pop
TiK ToK,Kesha,6LqNN22kT3074XbTVUrhzX,2010,Desconocido,Otros
I Wanna Be Free - Short Edit,Voltaj,42gT1APXU1oJyVU2zZ3McB,2010,Desconocido,Otros
Sure Thing,Miguel,360IAlyVv4PCEVjgyMZrxK,2010,r&b,r&b
