nombre,artista,id_artista,año,genero
Just the Way You Are,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,Sin datos
Angels Cry,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,2010,christmas
Only Girl (In The World),Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,Sin datos
The Real Slim Shady - Edited,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2010,rap
The Spins,Mac Miller,4LLpKhyESsyAXpc4laK94U,2010,Sin datos
Smooth Criminal,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,2010,Sin datos
S&M,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,Sin datos
Estuve a punto de - Entrevista,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,2010,latin pop
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,23zg3TcAtWQy7J6upgbUnj,2010,r&b
Alice,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,2010,Sin datos
Marry You,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,Sin datos
Let You Go,Chase & Status,3jNkaOXasoc7RsxdchvEVq,2010,drum and bass
Runaway,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2010,rap
Eu Sou O Samba - Live From Brazil/2010,Alexandre Pires,0Rrl4hJQjRAbGtiEwAqS5N,2010,pagode
Love The Way You Lie,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2010,rap
Find Your Love - Extended Version,Drake,3TVXtAsR1Inumwj472S9r4,2010,rap
"Hey, Soul Sister",Train,3FUY2gzHeIiaesXtOAdB7A,2010,soft pop
The Fear,Lily Allen,13saZpZnCDWOI9D4IJhp1f,2010,Sin datos
Grenade,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,Sin datos
Guess I'm Doing Fine,Bob Dylan,74ASZWbe4lXaubB36ztrGX,2010,folk rock
Memories (feat. Kid Cudi),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2010,edm
Politik Kills,Manu Chao,6wH6iStAh4KIaWfuhf0NYM,2010,latin alternative
What You Know,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,2010,indie
The Beautiful People - From Burlesque,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,2010,Sin datos
Last Friday Night (T.G.I.F.),Katy Perry,6jJ0s89eD6GaHleKKya26X,2010,pop
Teenage Dream,Katy Perry,6jJ0s89eD6GaHleKKya26X,2010,pop
All Of The Lights,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2010,rap
Journey To Regionals Performance,Glee Cast,0SCbttzoZTnLFebDYmAWCm,2010,christmas
TiK ToK,Kesha,6LqNN22kT3074XbTVUrhzX,2010,Sin datos
I Wanna Be Free - Short Edit,Voltaj,42gT1APXU1oJyVU2zZ3McB,2010,Sin datos
Sure Thing,Miguel,360IAlyVv4PCEVjgyMZrxK,2010,r&b
Chelsea Smile (Live in Mexico City),Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,2010,metalcore
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,04gDigrS5kc9YWfZHwBETP,2010,pop
Mau Tapi Malu (with Maía),Gita Gutawa,4V1Io5SwSO4CwaUbgLMYvz,2010,indonesian pop
Je te laisserai des mots,Patrick Watson,7bPs6jf983f0bjRAt1yxDM,2010,Sin datos
Bad,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,2010,Sin datos
Sexy Bitch (feat. Akon),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2010,edm
Alface - Ao vivo,Adriana Partimpim,3Tm1aSSPoM8fTDoYmWJt4t,2010,mpb
Cooler Than Me - Single Mix,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,2010,Sin datos
Desce A Madeira - Ao Vivo,Parangolé,2v5eqze59fqRes2e5QVGhf,2010,pagode baiano
POWER,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2010,rap
Wees Maar Niet Bang,Guus Meeuwis,72qVrKXRp9GeFQOesj0Pmv,2010,nederpop
Talking to the Moon,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,Sin datos
Come Together,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,2010,Sin datos
Club Can't Handle Me (feat. David Guetta),Flo Rida,0jnsk9HBra6NMjO2oANoPY,2010,Sin datos
Speed Demon,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,2010,Sin datos
Raise Your Glass,P!nk,1KCSPY1glIKqW2TotWuXOR,2010,opera
I've Come To Life,Edita,2CmCfAPJTWv8KQCs16s1RO,2010,Sin datos
Just Can’t Get Enough,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,2010,Sin datos
Gorillaz: Journey to Plastic Beach,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,2010,Sin datos
Give Me Everything (feat. Nayer),Pitbull,0TnOYISbd1XYRBk9myaseg,2011,Sin datos
Plastic Dreams 2003,JayDee,7KPJmQFgSlaOCgTzccTA01,2011,acid house
Titanium (feat. Sia),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2011,edm
Ballada o Janku Wisniewskim,Kazik,21gNCgi8Mt4VjkvxchTQJk,2011,Sin datos
Someone Like You,Adele,4dpARuHxo51G3z768sgnrY,2011,soft pop
Eu Aposto - Ao Vivo,Eduardo Costa,2OUgs5INWK2UEvZ6amWiJr,2011,sertanejo
Champagne Coast,Blood Orange,6LEeAFiJF8OuPx747e1wxR,2011,art pop
Marry The Night,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2011,art pop
We Found Love,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2011,Sin datos
¿Qué sería?,David Cavazos,1dsX2yN51RAijy5uceP5dA,2011,bolero
Somebody That I Used To Know,Gotye,2AsusXITU8P25dlRNhcAbG,2011,Sin datos
たいせつな光 （なでしこver.）,fumika,4FPhimiDlyEUsTSMWAUrhG,2011,anime
Levels - Radio Edit,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2011,edm
Del sur,Vargas Blues Band,3K6ueahyMBq96ZtDjo9LSn,2011,blues
Pumped Up Kicks,Foster The People,7gP3bB2nilZXLfPHJhMdvc,2011,Sin datos
Die Zeit hält nur in Träumen an (Song),Peter Maffay,5W3s4beu23rOlseCbVOp4l,2011,schlager
Paradise,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2011,Sin datos
Run the World (Girls),Beyoncé,6vWDO969PvNqNYHIOW5v0m,2011,Sin datos
Set Fire to the Rain,Adele,4dpARuHxo51G3z768sgnrY,2011,soft pop
No hay mañanas,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2011,grunge
Rolling in the Deep,Adele,4dpARuHxo51G3z768sgnrY,2011,soft pop
High Tide Or Low Tide: Save The Children's East Africa Fund,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,2011,reggae
Les,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,2011,Sin datos
Malam,Stereosoul,0ya5AesBm6CQeV4jJ0la0i,2011,piano house
Novacane,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2011,Sin datos
"Crawling - Live from the iTunes Festival at the Roundhouse, London, England, 7/4/2011",Linkin Park,6XyY86QOPPrYVGvF9ch6wz,2011,nu metal
International Love (feat. Chris Brown),Pitbull,0TnOYISbd1XYRBk9myaseg,2011,Sin datos
Train Of Love - Early Demo from Cash Bootleg Vol. II,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,2011,country
Heartbeat,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,2011,Sin datos
"Black and Yellow (feat. Juicy J, Snoop Dogg & T-Pain)",Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,2011,rap
Midnight City,M83,63MQldklfxkjYDoUE4Tppz,2011,Sin datos
Shipping Steel - Live at Manly Vale Hotel 1980,Cold Chisel,1VcbchGlIfo3Gylxc3F076,2011,Sin datos
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,2011,baroque pop
Like A Rolling Stone (from Winterland),Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,2011,psychedelic rock
Ni**as In Paris,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2011,hip hop
Хэндз ап!,Basta,7as5DY4Rz9jac9tgoTrj9H,2011,batak
Work Out,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2011,rap
Quiero aire,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2011,grunge
Headlines,Drake,3TVXtAsR1Inumwj472S9r4,2011,rap
Vespro della Beata Vergine: Laetatus Sum - Sonata sopra Sancta Maria - Pulchra Es - Dixit Dominus,Claudio Monteverdi,5iAhVgz6P8Nylxijb0C65v,2011,classical
No Church In The Wild,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2011,hip hop
Soñé - Live,Zoé,6IdtcAwaNVAggwd6sCKgTI,2011,rock en español
Domino,Jessie J,2gsggkzM5R49q6jpPvazou,2011,Sin datos
Problemas,Ana Carolina,4HP9KltldfmkH2M2pQozzN,2011,mpb
On The Floor,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,2011,Sin datos
World of Glory with JOE INOUE,TOTALFAT,2Bxu9stwgeIGzYeTNRicKE,2011,melodic hardcore
Shake It Out,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,2011,baroque pop
Tonight (I'm F****** You),Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,2011,latin pop
Galway Girl,Mundy,5KxKApyBL5ZQaz7bAvGaHR,2011,Sin datos
La Mané - Version Mexico,CantaJuego,1A4041ctH86ZE5rFqr0Poe,2011,lullaby
Timber,Pitbull,0TnOYISbd1XYRBk9myaseg,2012,Sin datos
Thoda Thoda,Shreya Ghoshal,0oOet2f43PA68X5RxKobEy,2012,bollywood
Can't Hold Us (feat. Ray Dalton),Macklemore,3JhNCzhSMTxs9WLGJJxWOY,2012,Sin datos
Bede Z Toba,Lemon,3GqZI2mcDNtrVB8pRP61Tu,2012,post-disco
Locked out of Heaven,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2012,Sin datos
"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",Abhishek - Akshay,3hbbfkU5rc1rhxiaE18JQg,2012,Sin datos
Ho Hey,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,2012,folk pop
Let Me Love You (Until You Learn To Love Yourself) - Director's Cut (Explicit),Ne-Yo,21E3waRsmPlU7jZsS13rcj,2012,Sin datos
Money Trees,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2012,hip hop
Lågsus (feat. Medina),Specktors,36Na2YYP8im6qQJBZu2fsa,2012,Sin datos
Stubborn Love,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,2012,folk pop
Hardkor i disko,Sofa,27JQGGtjn9Czzx34UHoxMP,2012,post-rock
Little Talks,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,2012,folk pop
Losing You,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2012,grunge
Lost,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2012,Sin datos
"Rum Whisky (From ""Vicky Donor"")",Abhishek - Akshay,3hbbfkU5rc1rhxiaE18JQg,2012,Sin datos
Drive By,Train,3FUY2gzHeIiaesXtOAdB7A,2012,soft pop
Magia - Intro,Maluma,1r4hJ1h58CWwUQe3MxPuau,2012,reggaeton
Feel So Close - Radio Edit,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2012,edm
Wind Song,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2012,grunge
When I Was Your Man,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2012,Sin datos
Guiding Light,Mark Wonder,7bVL3LNPkn7Lqbt0JSVQSu,2012,reggae
Video Games,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2012,Sin datos
"He Touched Me - Live At Majestic Theatre, San Antonio, TX/2009",Gaither Vocal Band,0pjLiK5qb4Zr0PWRNkdd2o,2012,southern gospel
I Will Wait,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,2012,folk
Ayaş Kalsın Sizlere / Ekin Ektim Düzlere,Mehmet Demirtaş,7fS4b00IU7XxRQZzJL6c7W,2012,oyun havasi
Hall of Fame (feat. will.i.am),The Script,3AQRLZ9PuTAozP28Skbq8V,2012,Sin datos
Love In Any Language - Live,Bill & Gloria Gaither,11sAWrpIkFUPQlXoQqpeBV,2012,southern gospel
Stay,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2012,Sin datos
The Sick Note,The Dubliners,72RvmgEg2omdlMV9aExO6a,2012,celtic
Thinkin Bout You,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2012,Sin datos
Serpentyny i mydlane bańki,Sofa,27JQGGtjn9Czzx34UHoxMP,2012,post-rock
Call Me Maybe,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,2012,Sin datos
"Diamonds On The Soles Of Her Shoes - from The African Concert, 1987",Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,2012,singer-songwriter
Summertime Sadness,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2012,Sin datos
Magic (feat. T.I.),Future,1RyvyyTE3xzB2ZywiAwp0i,2012,rap
Demons,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2012,Sin datos
アルタイル,秦 基博 meets 坂道のアポロン,6zbJYUN1FfUnEUAJpLHwCD,2012,No encontrado
Classic,MKTO,2l35CQqtYRh3d8ZIiBep4v,2012,Sin datos
Така ми говори,Kali,0j4z7kUnuRChYom1rytlQY,2012,Sin datos
Wild Ones (feat. Sia),Flo Rida,0jnsk9HBra6NMjO2oANoPY,2012,Sin datos
When We Don't Exist Reissue (Learn Your Place),Like Moths To Flames,6RRpZz1uPqY9E28kmSPAhw,2012,metalcore
Starships,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,2012,Sin datos
I Love It (feat. Charli XCX),Icona Pop,1VBflYyxBhnDc9uVib98rw,2012,Sin datos
Try,P!nk,1KCSPY1glIKqW2TotWuXOR,2012,opera
"Arráncame - Directo - Ven, siéntate y me lo cuentas ...",Vanesa Martín,5kSJMVPcTITrSZxTrHllVN,2012,flamenco pop
Feel This Moment (feat. Christina Aguilera),Pitbull,0TnOYISbd1XYRBk9myaseg,2012,Sin datos
HYFR (Hell Ya F***ing Right),Drake,3TVXtAsR1Inumwj472S9r4,2012,rap
What Makes You Beautiful,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2012,Sin datos
Bleeding Hearts Club,P.O.S,4sH7SLGP6BLOYDtcP6Lm47,2012,experimental hip hop
Wake Me Up,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2013,edm
Bede Z Toba - Hangout Live,Lemon,3GqZI2mcDNtrVB8pRP61Tu,2013,post-disco
Another Love,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,2013,Sin datos
Byłem (feat. As),Pezet,4z93wkjfGntA0XFqnv4wj7,2013,Sin datos
Story of My Life,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2013,Sin datos
My Love a Piece of My Love (feat. Snoop Dogg),Abel The Kid,1jFW8Qk6mMFADyD1dbiry2,2013,Sin datos
LoveHate Thing (feat. Sam Dew),Wale,67nwj3Y5sZQLl72VNUHEYE,2013,Sin datos
25 ปี (มีหวัง),พงษ์สิทธิ์ คำภีร์,0lEc37ck2MW2K9L8wV7QpP,2013,phleng phuea chiwit
I Wanna Be Yours,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie
Red Light (feat. Snoop Lion),Eddie Murphy,1Zq8pfBl4ejCMrWdeAdphc,2013,comedy
Counting Stars,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,2013,soft pop
Cups (Pitch Perfect’s “When I’m Gone”) - Director's Cut / Closed-Captioned,Anna Kendrick,6xfqnpe2HnLVUaYXs2F8YS,2013,children's music
Do I Wanna Know?,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie
Tantinho - Ao Vivo,Daniel,2wwWukJBsCikjlj7vlbQkM,2013,sertanejo tradicional
Sweater Weather,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,2013,Sin datos
San Pedro - Enjoy,Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,grunge
No. 1 Party Anthem,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,indie
Nice,Lemon,3GqZI2mcDNtrVB8pRP61Tu,2013,post-disco
Latch,Disclosure,6nS5roXSAGhTGr34W6n7Et,2013,house
"Es lo que es, hay lo que hay - Enjoy",Revolver,2SAPkzCWSR5iX7dE4hVcqB,2013,grunge
Young And Beautiful,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2013,Sin datos
