año,genero_general,frecuencia
2010,Otros,23
2010,electrónica,3
2010,hip-hop,6
2010,indie,1
2010,latino,2
2010,metal,1
2010,pop,8
2010,r&b,2
2010,rock,1
2010,samba,3
2011,Otros,23
2011,blues,1
2011,clásica,1
2011,country,1
2011,electrónica,2
2011,hip-hop,5
2011,latino,2
2011,metal,2
2011,pop,8
2011,reggae,1
2011,rock,2
2011,samba,2
2012,Otros,30
2012,blues,2
2012,bollywood,1
2012,dance,1
2012,electrónica,1
2012,flamenco,1
2012,folk,4
2012,hip-hop,4
2012,latino,1
2012,metal,1
2012,pop,1
2012,reggae,1
2012,rock,2
2013,Otros,25
2013,dance,2
2013,electrónica,4
2013,folk,2
2013,hip-hop,1
2013,indie,4
2013,k-pop,2
2013,metal,2
2013,pop,3
2013,rock,3
2013,samba,2
2014,Otros,22
2014,bollywood,1
2014,clásica,1
2014,dance,7
2014,electrónica,5
2014,folk,2
2014,hip-hop,3
2014,metal,1
2014,pop,7
2014,rock,1
2015,Otros,25
2015,blues,1
2015,clásica,3
2015,country,1
2015,electrónica,2
2015,hip-hop,4
2015,indie,1
2015,pop,11
2015,reggae,1
2015,rock,1
2016,Otros,27
2016,blues,1
2016,bollywood,1
2016,electrónica,2
2016,folk,1
2016,hip-hop,6
2016,k-pop,1
2016,pop,10
2016,rock,1
2017,Otros,25
2017,country,1
2017,electrónica,3
2017,folk,1
2017,hip-hop,5
2017,jazz,1
2017,k-pop,1
2017,latino,2
2017,pop,7
2017,reggae,1
2017,rock,2
2017,samba,1
2018,Otros,30
2018,clásica,1
2018,country,2
2018,hip-hop,8
2018,k-pop,1
2018,pop,5
2018,reggae,1
2018,rock,2
2019,Otros,34
2019,country,1
2019,hip-hop,3
2019,k-pop,2
2019,latino,1
2019,pop,7
2019,reggae,1
2019,samba,1
2020,Otros,33
2020,africano,1
2020,country,2
2020,electrónica,2
2020,flamenco,1
2020,hip-hop,5
2020,indie,1
2020,k-pop,2
2020,pop,1
2020,r&b,1
2020,reggae,1
2021,Otros,31
2021,clásica,2
2021,electrónica,1
2021,hip-hop,1
2021,indie,2
2021,k-pop,2
2021,latino,2
2021,pop,5
2021,rock,1
2021,samba,1
2022,Otros,25
2022,clásica,2
2022,country,5
2022,electrónica,5
2022,folk,2
2022,hip-hop,2
2022,indie,1
2022,k-pop,2
2022,pop,4
2022,r&b,1
2022,rock,1
2023,Otros,30
2023,blues,3
2023,country,3
2023,dance,1
2023,electrónica,4
2023,folk,3
2023,hip-hop,2
2023,latino,1
2023,metal,1
2023,reggae,1
2023,samba,1
2024,Otros,26
2024,africano,2
2024,blues,1
2024,bollywood,1
2024,country,2
2024,electrónica,1
2024,hip-hop,8
2024,k-pop,2
2024,pop,4
2024,rock,2
2024,samba,1
2025,Otros,35
2025,blues,1
2025,clásica,1
2025,country,2
2025,folk,1
2025,hip-hop,3
2025,jazz,1
2025,latino,1
2025,metal,1
2025,pop,2
2025,r&b,1
2025,rock,1
